sequence,record_type,poi_name,found_date,location_displayed,sender,screenshot_path,original_filename,sha256,byte_identical_occurrence_group,rating,recommendation,research_confidence,research_status,research_summary,confirmed_facts,inferences,unresolved_questions,source_urls,star_visible_in_screenshot,deletion_toast_visible,chat_occurrences,screenshot_notes,notes_from_insertion
121,postcard,Graffiti On The Wall,2026-05-02,"Changan, Beitou District",,screenshots/121_2026-05-02_Graffiti-On-The-Wall.png,52107d68-e8df-4ae0-99b5-5b3e8ed33e50.png,4644b384992c1d20a71beb721f81f5886dce7736e7dc44efb0edb941520f26d8,,★★★★½,留,high,preserved_detail_from_visible_session_context,這張不是一般無名塗鴉。照片上的 e-Life 線索可對應 2012 年臺北市『北投觀光亮點彩繪造街－店舖門面妝點方案』，當年由復興高中美術班學生／校友與地方團體合作，為光明路 119 號 e-Life／想家生活寢飾館量身彩繪鐵捲門。2018 年『北投風情－彩繪鬥市』被官方稱為延續前期彩繪計畫。後續商工資料顯示相關寢飾店已歇業，因此這張成為已消失店家與社區藝術街景的記錄。Wayspot 名『Graffiti On The Wall』過度籠統。,2012官方計畫名單含 e-Life／想家生活寢飾館，地址光明路119號 | 計畫由復興高中美術班與地方合作，以店家營生特色為題材 | 後續相關店家登記已歇業,照片中的門畫即該店量身創作的 2012 彩繪作品,具體學生作者姓名若未在公開資料中逐一列出，仍待補,https://english.udd.gov.taipei/News_Content.aspx?n=DD9CEC17A97FBC64&s=615162018B462900&sms=72544237BBE4C5F6 | https://www.tpedoit.gov.taipei/News_Content.aspx?n=603755835E928BED&s=C9DF00F250EA6E90 | https://findbiz.nat.gov.tw/fts/business/25580005/40100000000001161680?utm_source=chatgpt.com | https://findbiz.nat.gov.tw/fts/business/31854410/20100000000008557061?utm_source=chatgpt.com,False,False,,,
122,postcard,Le Rocher de la Vierge,2026-05-03,Biarritz,,screenshots/122_2026-05-03_Le-Rocher-de-la-Vierge.jpeg,E4B90484-EEB2-42F6-BBC3-528AF3EE81AD.jpeg,b5b48f3425f3ffe9e24a45157791412fa108ed471b8af87e2f417d4f502fb26e,,★★★★★,一定留／核心收藏,high,preserved_detail_from_visible_session_context,法國 Biarritz 的代表性地標『聖母岩』。19 世紀拿破崙三世為建 Port du Refuge 避風港工程開鑿岩礁與交通通道，港工最後失敗；1865 年青銅聖母像安置岩頂後，岩礁逐漸以現名聞名。現有金屬橋常被誤傳為 Gustave Eiffel 設計，官方資料則指向 Schryvers 工場。1931 年景觀受保護，且早在 20 世紀初就已是經典明信片主題。這張同時兼具帝國工程、海洋信仰、城市象徵與『明信片文化本身』。,Biarritz 官方把它視為城市象徵 | 19世紀避難港工程曾改造此岩礁 | 1865年聖母像安置 | 現橋非 Eiffel 本人作品的官方說法 | 1931年成為受保護景觀,Pikmin 明信片延續了一百年以上把此景點當明信片圖像的傳統,官方資料對現橋具體年份存在 1877／1887 的差異,https://www.biarritz.fr/mairie-/-herriko-etxea/charte-graphique-biarritz?utm_source=chatgpt.com | https://www.destination-biarritz.fr/decouvrir/le-rocher-de-la-vierge/ | https://www.ville-imperiale.com/villes/biarritz/le-rocher-de-la-vierge-a-biarritz/ | https://www.destination-biarritz.fr/en/decouvrir/le-rocher-de-la-vierge/?utm_source=chatgpt.com | https://www.biarritz.fr/fileadmin/user_upload/biarritz/Ville/telechargements/AVAP/AVAP2/01-_BIARRITZ_-_AVAP_-_Rapport_de_PrCsentation_-_CM_2017-04-11.pdf?utm_source=chatgpt.com | https://pop.culture.gouv.fr/notice/memoire/IVN00_20070001206?utm_source=chatgpt.com,False,False,,,
123,postcard,舟戸の渡,2026-04-26,"Matsusaka, Iinancho Kayumi",jia,screenshots/123_2026-04-26_舟戸の渡.jpeg,B4D1C4C5-6533-451D-AA3A-AAA03CA84DFD.jpeg,57e4bb28e2d979c82fcc4fab8c84292020d0d736a02ab6c8cf48fc7929d4521f,,★★★★½～★★★★★,留／按星,high,preserved_detail_from_visible_session_context,松阪市飯南町粥見、櫛田川舊渡口遺址。國土交通省資料直接標示『舟戸の渡し場跡』，舊時以平底渡船與長棹（棹ごし）載人馬過河，並位於通往桜峠、田丸、伊勢／熊野方向的舊交通路線。明治時期曾作為縣管理免費渡船；1915 年左右架起簡易橋後，渡船仍並存一段時間，後來由橋梁完全取代。價值在於現地是消失交通方式的真實歷史節點，不只是解說牌。,國交省資料記載舟戸渡口遺址 | 曾以渡船載人馬過櫛田川 | 明治期為公共管理渡船 | 大正時代架橋後渡船逐漸退出,『舟戸』地名與渡船活動高度呼應，但未找到足以百分之百證實語源的文獻,地名語源仍需更直接史料,https://www.mlit.go.jp/river/shinngikai_blog/shaseishin/kasenbunkakai/shouiinkai/kihonhoushin/dai156kai/10.pdf?utm_source=chatgpt.com | https://www.mlit.go.jp/river/basic_info/jigyo_keikaku/gaiyou/seibi/pdf/kushida-4.pdf | https://www.city.matsusaka.mie.jp/uploaded/attachment/82613.pdf?utm_source=chatgpt.com | https://www.city.matsusaka.mie.jp/uploaded/attachment/87640.pdf?utm_source=chatgpt.com,False,False,,,
124,postcard,東名新城PA(上り) 東屋,2026-04-09,"Shinshiro, Tomioka Higashigawa",柳柳,screenshots/124_2026-04-09_東名新城PA(上り)-東屋.jpeg,6273DF04-FA81-48A9-B798-D8E44F608806.jpeg,31bbdf15085d58554a51a6df15ead4c049415220b110933b42e89d06582aef91,,★★★☆☆,偏刪,high,preserved_detail_from_visible_session_context,新城 PA 本身是東名高速早期設施，1969 年隨靜岡 IC～岡崎 IC 路段開通啟用；後來商業設施與廁所等多次更新，2024 年上行廁所棟又使用東三河木材／CLT 等改建。問題是這張 Wayspot 精確拍的只是 PA 內普通綠色東屋（休憩棚），找不到獨立設置年份、設計者或特殊歷史，因此『地方背景有故事、POI 本體太普通』。,新城PA 1969 年啟用 | 上行設施後來有多次更新 | 照片主體是普通戶外休憩東屋,若日後有 PA 本體、歷史標示或新木造建築 postcard，會比這張更具代表性,東屋本體的設置年份與工程資料未查得,https://www.wdic.org/w/GEO/%E6%96%B0%E5%9F%8E%E3%83%91%E3%83%BC%E3%82%AD%E3%83%B3%E3%82%B0%E3%82%A8%E3%83%AA%E3%82%A2?utm_source=chatgpt.com | https://www.e-nexco.co.jp/company/overview/chronology/?utm_source=chatgpt.com | https://www.c-nexco.co.jp/corporate/pressroom/news_old/?id=2719&utm_source=chatgpt.com | https://www.pref.aichi.jp/uploaded/attachment/530786.pdf?utm_source=chatgpt.com | https://sapa.c-nexco.co.jp/sapa/guide?sapainfoid=21&utm_source=chatgpt.com,False,False,,,
125,postcard,捷運北投站2號出口 MRT Beitou Station Exit 2,2026-05-04,"Zhongyang, Beitou District",,screenshots/125_2026-05-04_捷運北投站2號出口-MRT-Beitou-Station-Exit-2.png,1c72622f-f7ac-42e8-b172-4d1d3d6a069f.png,0c3ee4b1f22d469b808a66245e4893fa4ef05c0337eebbd4a75f3df12f5847d6,,★★★½,偏留／可被更具代表性的北投站 postcard 取代,high,preserved_detail_from_visible_session_context,北投站本身可追到 1901 年北淡線交通節點，1997 年改為捷運；但照片中的 2 號出口並非初期就有，而是因人口與運量增加後在既有營運中的高架站南端增建，2018-10-28 啟用。工程受空間與不停駛施工限制，採樓梯與無障礙電梯等配置。北投站又是淡水線少見的四軌、多月台大站，因此這張可視為 2010 年代對既有捷運基礎設施『打補丁』的城市演化紀錄。,北投站現址延續原北淡線北投站交通節點 | 2號出口是後來增建而非1997原始配置 | 2號出口2018-10-28啟用 | 北投站為淡水線特殊多軌站,若收到能呈現四軌／大型桁架屋頂的 postcard，代表性更高,,https://ebook.dorts.gov.taipei/ebook/no34/files/basic-html/page68.html?utm_source=chatgpt.com | https://www.cna.com.tw/news/aloc/201810280113.aspx?utm_source=chatgpt.com | https://sec.gov.taipei/News_Content.aspx?n=49B4C3242CB7658C&s=7944315E14810C76&sms=72544237BBE4C5F6&utm_source=chatgpt.com | https://ebook.dorts.gov.taipei/ebook/no34/files/basic-html/page45.html?utm_source=chatgpt.com | https://zh.wikipedia.org/wiki/%E5%8C%97%E6%8A%95%E7%AB%99?utm_source=chatgpt.com | https://ebook.dorts.gov.taipei/ebook/no7/files/basic-html/page105.html?utm_source=chatgpt.com | https://ebook.dorts.gov.taipei/ebook/no34/files/basic-html/page50.html?utm_source=chatgpt.com,False,False,,,
126,postcard,老k,2026-05-04,"Longsheng, Daan District",,screenshots/126_2026-05-04_老k.png,33cc35ad-5e65-41ae-98fe-5a573efea93d.png,1cb9b65d3672aeaeedf76db2d8a1f2cac31ddf6630ff73a5bf5526bc6b9f8af5,,★★½☆☆,偏刪,medium,preserved_detail_from_visible_session_context,照片是大安區龍生里一扇裝飾性老式鐵門／鐵花門，『老k』查不到正式作品、建築、作者或地方文化資產對應，可能只是 Wayspot 暱稱。類型本身可放進台灣戰後住宅鐵花窗／黑鐵工藝史：1960～80 年代曾非常盛行客製化鐵件，後來逐漸被大量不鏽鋼製品取代。但目前只能說『這類型有文化史』，無法證明『這一件』的年代、作者或故事。,照片本體是裝飾鐵門／鐵花構件 | 查不到可對應『老k』的正式作品資料 | 台灣住宅鐵花窗在戰後數十年有重要工藝與生活史脈絡,可能是私人住宅鐵門；名稱可能是玩家暱稱,『老k』命名由來、鐵門年代、作者、建築身分均未知,https://li.taipei/News_Content.aspx?n=8CC4391B60340D9C&s=492D887A038F525D&sms=D982815F3A372FF5&utm_source=chatgpt.com | https://magazine.ncfta.gov.tw/News_Content2.aspx?n=3131&s=82570&utm_source=chatgpt.com | https://magazine.ncfta.gov.tw/News_Content2.aspx?n=1932&s=82605&sms=11545&utm_source=chatgpt.com,False,False,,,
127,postcard,五彩攀爬網架滑梯,2026-05-05,"Zhoumei, Beitou District",,screenshots/127_2026-05-05_五彩攀爬網架滑梯.png,030d8e47-7e13-4f13-8dc8-23f2ad51c0ba.png,63fde248cf68188f593124cd2bf442c0c698e2e6b053a9d292ac6410777be7b0,,★★★★☆,留,high,preserved_detail_from_visible_session_context,位在北投洲美河雙21河濱公園的端午／屈原文化主題兒童遊戲場。官方把對應遊具稱『五彩攀爬架滑梯』，五彩意象來自端午五色絲線；同場還有龍船、粽子、白浪等主題遊具。這個設計和洲美在地屈原宮、龍舟點睛與祭江傳統相連，因此不是一般罐頭遊具。工程約 2022 開工、2023 開放，年代很新，但在地文化設計來源清楚。,官方有『五彩攀爬架滑梯』名稱 | 遊戲場以端午、龍舟、屈原文化為主題 | 洲美屈原宮與台北龍舟活動有長期連結 | 遊戲場約2023年開放,Wayspot 名多出的『網』字屬小幅命名差異，不影響身分,,https://heo.gov.taipei/News_Content.aspx?n=1FE45A3FEA3D194E&s=FA31F6F1887E4FDB&sms=72544237BBE4C5F6&utm_source=chatgpt.com | https://crgis.rchss.sinica.edu.tw/temples/TaipeiCity/beitou/63012019-QYG?utm_source=chatgpt.com | https://www.gov.taipei/News_Content.aspx?n=F0DDAF49B89E9413&s=F629FE0A13D4C09F&utm_source=chatgpt.com | https://heo.gov.taipei/cp.aspx?n=7B7B4F40764D8947&utm_source=chatgpt.com,False,False,,,
128,postcard,洲美運動公園平面配置圖,2026-05-05,"Zhoumei, Beitou District",,screenshots/128_2026-05-05_洲美運動公園平面配置圖.png,d736ec80-739c-4447-afcd-596cdd4b4b6b.png,17aa4261610ade4caa1f3e54872b09ae7f262b7acd3427d168bd0c1c5b6f5ed8,,★★★½,偏留／可被更具代表性的設施照取代,high,preserved_detail_from_visible_session_context,這不是上一張河雙21遊戲場，而是北投垃圾焚化廠體系下的洲美運動公園回饋設施。公園屬典型鄰避設施補償／地方回饋脈絡：焚化廠所在地承受負擔，市府用運動、公園、游泳與公共設施回饋地方。洲美運動公園 2004-07-17 啟用，至今仍屬焚化廠回饋設施的一部分。故事很有城市治理價值，但 postcard 本體只是一塊平面配置圖，因此屬『故事值得保存，載體可替代』。,洲美運動公園與北投焚化廠地方回饋制度相關 | 2004-07-17正式啟用 | 現在仍作為運動／休閒回饋設施,若有入口牌、焚化廠煙囪觀景台或更能呈現整體關係的 postcard，會比配置圖更好,這塊配置圖本身的設置年份／設計者未查得,https://www.ptrip.gov.taipei/cp.aspx?n=BA3D30F2411C9D11&utm_source=chatgpt.com | https://www.gov.taipei/News_Content.aspx?n=D07E52F0FF169E83&s=B82E1227BA84594F&sms=4F76BD4E1FD15647&utm_source=chatgpt.com | https://www-ws.gov.taipei/001/Upload/537/relfile/26470/3886797/183011002.pdf?utm_source=chatgpt.com | https://www.ptrip.gov.taipei/News_Content.aspx?n=28AD3965E62FD809&s=C5248912BFA21CC5&sms=87415A8B9CE81B16&utm_source=chatgpt.com,False,False,,,
129,postcard,北科大建校70年紀念碑,2026-05-05,"Minhui, Daan District",,screenshots/129_2026-05-05_北科大建校70年紀念碑.png,394f2c3f-336c-4a2d-a256-5babd2da9cb5.png,d87109e83176fb7f2d9873aa4c62d38339b67e14264870af6e616e767f94ec70,,★★★★½～★★★★★,一定留／按星,high,preserved_detail_from_visible_session_context,Wayspot 名把它簡化成『紀念碑』，實際上是北科大的『建校七十年鐘塔／鐘樓』。其源頭在 1981 前後臺北工專建校七十年與改隸國立時期，由校友號召集資興建，長期位於忠孝東路與建國南路口，成為校園精神地標。北科校史可追到 1912 年工業講習所；鐘樓一路見證臺北工專、臺北技術學院到臺北科技大學。2025 年又完成較大規模重建／整修，保留原意象與舊校徽，因此 postcard 保存了整修前綠磁磚版舊貌，具有時間膠囊價值。,官方稱其為建校七十年鐘塔／鐘樓 | 由校友集資興建 | 北科官方校史起點採1912年 | 2025年完成鐘樓重建／整修,這張 postcard 的舊貌紀錄價值因 2025 改造而增加,1981／1982『七十年』計算法牽涉當時紀年與校史認定差異，宜保留原時代語境,https://alc.ntut.edu.tw/p/405-1029-22622%2Cc3438.php?Lang=zh-tw | https://oia.ntut.edu.tw/p/412-1032-9080.php?Lang=zh-tw&utm_source=chatgpt.com | https://news.ntut.edu.tw/p/404-1000-140701.php?utm_source=chatgpt.com | https://ntutana.org.tw/114%E5%B9%B46%E6%9C%8810%E6%97%A5%E4%BA%8C%E9%90%98%E6%A8%93%E9%87%8D%E5%BB%BA%E7%AB%A3%E5%B7%A5%E6%8D%90%E8%B4%88%E5%89%AA%E7%B6%B5%E6%8F%AD%E5%B9%95%E5%84%80%E5%BC%8F/?utm_source=chatgpt.com | https://www.aantut.org/Article_AboutUs_P02.php?utm_source=chatgpt.com | https://news.ntut.edu.tw/p/404-1000-146281.php?utm_source=chatgpt.com | https://me1.ntut.edu.tw/p/412-1062-10465.php?Lang=zh-tw&utm_source=chatgpt.com,False,False,,,
130,postcard,客家公園-麻花燈籠,2026-05-05,"Linxing, Zhongzheng District",,screenshots/130_2026-05-05_客家公園-麻花燈籠.png,42f59e1e-b8a2-4a33-8b62-12302fa7c1e8.png,562c31f7306f7131e7b47d0be09a716ecdf81f5a2b1547d9a31cf3ca65685321,,,,not_recovered,prior_research_not_recovered_from_compacted_context,"The original postcard screenshot and its visible metadata are preserved. This session did contain postcard-by-postcard discussion, but the full prior assistant research text for this item was not available in the compacted conversation context used during export. No replacement web research was invented or silently substituted.",,,Recover/merge the original per-postcard research from the source-session transcript if available.,,False,False,,,
131,postcard,T字管猴,2026-05-05,"Meihua, Zhongzheng District",,screenshots/131_2026-05-05_T字管猴.png,e693c3ab-24be-4e39-b1d9-86f88eda890f.png,c192906ca7d15134350b0f6d0ef2a4bc63a8806a82597e1c21ffa42ad50d16f7,,,,not_recovered,prior_research_not_recovered_from_compacted_context,"The original postcard screenshot and its visible metadata are preserved. This session did contain postcard-by-postcard discussion, but the full prior assistant research text for this item was not available in the compacted conversation context used during export. No replacement web research was invented or silently substituted.",,,Recover/merge the original per-postcard research from the source-session transcript if available.,,False,False,,,
